sentence,sentiment,impact,sentiments,impacts,batch,film_title
Teach your kids of the dangers of tornadoes. ,Positive,TBD,['Neutral' 'Positive' 'Positive'],['Not applicable' 'Shift in Knowledge' 'Interest with Science Topic'],4,SuperTornado: Anatomy of a Megadisaster
"IMAX 3D effects spectacular, great for showing off your 3D TV and liquid crystal 3d glasses. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Space Junk
Loved the narration. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
Informative ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
It holds your interest. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
Always a fantastic hourly when you get to watch storm chasers and tornadoes. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Interest with Science Topic']",4,SuperTornado: Anatomy of a Megadisaster
watched through prime. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Not applicable'],4,The Jupiter Enigma
Neat to learn about those hurricane support clamp thingies to add to roof joists to keep roofs attached to walls. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'],4,SuperTornado: Anatomy of a Megadisaster
"You might find yourself quoting Macbeth “Out, damn'd spot! ",Neutral,Engagement with Film,['Neutral' 'Positive' 'Neutral'],['Not applicable' 'Engagement with Film' 'Impersonal Report'],4,The Jupiter Enigma
 One of the first shows I've seen that mention planetary movement in early solar system formation explaining some of the head scratching with Jupiter. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Interest with Science Topic' 'Shift in Knowledge'],4,The Jupiter Enigma
"The graphics are phenomenal, the narrator is kinda annoying like she's on Valium or something lol. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
Using these awful narrators. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
What more could you ask for? ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Solar Superstorms: Journey to the Center of the Sun
If your looking for 3d that comes out of tv then this is not for you. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Space Junk
apparently I had a hard time staying awake for it because I already knew most of what they were talking about. ,Neutral,Shift in Knowledge,['Negative' 'Neutral' 'Positive'],['Shift in Knowledge' 'Shift in Knowledge' 'Interest with Science Topic'],4,The Jupiter Enigma
You're gonna love it. ,Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
Tesla already held the patent and his was upheld in 1943. ,Neutral,Not applicable,['Negative' 'Neutral' 'Neutral'],['Shift in Knowledge' 'Not applicable' 'Impersonal Report'],4,Solar Superstorms
" If not, you may be the next one to write a similar review. ",Negative,Engagement with Film,['Negative' 'Negative' 'Neutral'],['Not applicable' 'Engagement with Film' 'Impersonal Report'],4,Space Junk
I was there and experienced this tornado for myself. ,Neutral,Impersonal Report,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Impersonal Report'],4,SuperTornado: Anatomy of a Megadisaster
Revealing high resolution evolutionary cosmological visualizations from NCSA Urbana + more technical depth than you usually get in the genre. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Engagement with Film' 'Shift in Knowledge'],4,Seeing the Beginning of Time
Very interesting for a documentary. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
Loved it. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
 I was falling asleep watching this in the middle of the day. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
yawn. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Impersonal Report' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
Some of it in high orbit will take a hundred years to re-enter and burn up due to orbit decay. ,Positive,Shift in Knowledge,['Positive' 'Neutral' 'Positive'],['Shift in Knowledge' 'Interest with Science Topic' 'Shift in Knowledge'],4,Space Junk
5 STARS ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
Keep looking up! ,Neutral,Not applicable,['Neutral' 'Negative' 'Neutral'],['Not applicable' 'Engagement with Film' 'Not applicable'],4,Seeing the Beginning of Time
"To be truthful, this film was a little over my head. ",Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Shift in Knowledge' 'Shift in Knowledge' 'Engagement with Film'],4,Solar Superstorms
People will explain to you what damage tornadoes can do. ,Positive,Impersonal Report,['Neutral' 'Positive' 'Positive'],['Impersonal Report' 'Engagement with Film' 'Shift in Knowledge'],4,SuperTornado: Anatomy of a Megadisaster
"This film should have been lots of fun but turned out to be a rather dreary, uninteresting affair. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Space Junk
I don't feel that it really showed the benefits of having a 3-D television. ,Negative,Not applicable,['Negative' 'Negative' 'Negative'],['Not applicable' 'Not applicable' 'Engagement with Film'],4,Space Junk
 It is also extremely interesting and very easy to understand. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Interest with Science Topic']",4,Seeing the Beginning of Time
Ok ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Neutral'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
 Prayers and thoughts go out to those that died and to their families!!! ,Positive,Not applicable,['Positive' 'Positive' 'Positive'],['Not applicable' 'Not applicable' 'Impersonal Report'],4,SuperTornado: Anatomy of a Megadisaster
Excellent. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Impersonal Report' 'Engagement with Film'],4,Solar Superstorms: Journey to the Center of the Sun
"I liked it, interesting! ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
Makes me happy I live in Florida after watching this movie . ,Positive,Not applicable,['Positive' 'Positive' 'Positive'],['Not applicable' 'Impersonal Report' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
Oh they are so dramatic on their worthless billion dollar toy. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film']",4,Seeing the Beginning of Time
" Should we eat out tonight?"" ",Neutral,Not applicable,['Neutral' 'Negative' 'Neutral'],['Not applicable' 'Engagement with Film' 'Not applicable'],4,The Jupiter Enigma
This documentary explained many areas of a tornado. ,Positive,Shift in Knowledge,['Neutral' 'Negative' 'Positive'],['Impersonal Report' 'Shift in Knowledge' 'Shift in Knowledge'],4,SuperTornado: Anatomy of a Megadisaster
"My father, Miles Dean Wells, was killed in this tornado at Home Depot. ",Neutral,Impersonal Report,['Negative' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Impersonal Report'],4,SuperTornado: Anatomy of a Megadisaster
 great visuals ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
Very interesting. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film']",4,Seeing the Beginning of Time
Highly informative! ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Shift in Knowledge' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
Very interesting. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film']",4,SuperTornado: Anatomy of a Megadisaster
 I've seen better computer generated 3D on IMAX films like Legends of Flight. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Space Junk
Never once was ELECTRICITY mentioned in any of this. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",4,The Jupiter Enigma
Loved the narrator. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
This film has everything. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Not applicable'],4,Seeing the Beginning of Time
"I'll add that the narrator sounds familiar -- her steady, measured enunciation and rhythm were perfect for explaining and introducing concepts a celebrity voice would've been distracted a bit from. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
Thank you very much to the production crew and to all parts of the team that created this documentary. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
"In regard to the graphics, much of the time you see lots of different coloured circles orbiting around the Earth which becomes tiring. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Space Junk
"For a far more riveting documentary on this subject with much better narration, you'll be better served watching Nova's series The Planets which is on Amazon as well. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Birth of Planet Earth
"I really enjoyed it, it was interesting and the visuals were really good. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
Visually pleasing. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
"Sadly, I found myself dozing while sitting at my desk watching it. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Solar Superstorms: Journey to the Center of the Sun
but then again I'm pretty picky with what goes in my head. ,Positive,Not applicable,['Neutral' 'Positive' 'Positive'],['Not applicable' 'Not applicable' 'Interest with Science Topic'],4,Seeing the Beginning of Time
Nice Cinematography ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Solar Superstorms: Journey to the Center of the Sun
The analysis of the damage path and building construction was fabulous! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
I learned no more from this doc. ,Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Shift in Knowledge' 'Shift in Knowledge' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
"This one is extremely well done, and recent! ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
"The science and data presented was really interesting and through, just not as a whole what I would expect. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
I enjoyed watching. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Space Junk
 Thank you for providing this video. ,Positive,Not applicable,['Positive' 'Positive' 'Positive'],['Not applicable' 'Impersonal Report' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
It also molded the whole new cosmic outlook viewpoint together. ,Positive,Engagement with Film,['Positive' 'Neutral' 'Negative'],['Engagement with Film' 'Interest with Science Topic' 'Shift in Knowledge'],4,Seeing the Beginning of Time
Very educational. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Shift in Knowledge' 'Engagement with Film'],4,Seeing the Beginning of Time
It was great ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
I wound up turning it off before it ended. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
Good introduction to new astronomical instruments. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
" In terms of cost, it was the worst tornado ever. ",Positive,Shift in Knowledge,['Positive' 'Neutral' 'Positive'],['Shift in Knowledge' 'Not applicable' 'Shift in Knowledge'],4,SuperTornado: Anatomy of a Megadisaster
"One error--Joplin may have had the highest dollar loss, but the tornado in May of 1999, in Oklahoma City, is the only F6 tornado ever recorded. ",Negative,Shift in Knowledge,['Negative' 'Neutral' 'Negative'],['Shift in Knowledge' 'Interest with Science Topic' 'Shift in Knowledge'],4,SuperTornado: Anatomy of a Megadisaster
Starts with a narrator who slept through his lines. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
"Some of the information seems glossed over or missing, possibly sacrificed to show needless minutes of runners in the marathon, I guess to show the ""triumph of the human spirit"". ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
 Kudos to Joplin for pulling together! ,Positive,Not applicable,['Positive' 'Positive' 'Positive'],['Not applicable' 'Not applicable' 'Shift in Knowledge'],4,SuperTornado: Anatomy of a Megadisaster
"Imax 3d beats all other 3d formats and this one is one of them 40min long documentary on space junk satellites space station ect,the dangers in space human made brilliant 3d pop out screen,brill ! ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Space Junk
The story tried to cover too much ground. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
Noted some prior reviewer's complaints about the qualities of narrator's voice. ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Engagement with Film' 'Impersonal Report'],4,Seeing the Beginning of Time
Marconi is given credit for the wireless patent in the 2nd episode. ,Neutral,Impersonal Report,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Impersonal Report'],4,Solar Superstorms
It had some interesting information. ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Interest with Science Topic']",4,SuperTornado: Anatomy of a Megadisaster
Makes you respect Mother Nature!! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Not applicable' 'Interest with Science Topic' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
It was ok..not what I thought ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
 The Weather Channel has done a better job of informing and covering the tornados than this documentary did. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Shift in Knowledge' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
It's incredible how much junk we have put up there. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Interest with Science Topic' 'Shift in Knowledge'],4,Space Junk
It was very informative and the animation of the anatomy of the tornadoes was cool ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Shift in Knowledge'],4,SuperTornado: Anatomy of a Megadisaster
 The guys voice was so monotone it drove me nuts. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
"At a later point, the documentary stated that in the early days of planet earth, it experienced four collisions with objects large enough that the entire crust of planet earth became molten. ",Positive,Shift in Knowledge,['Neutral' 'Positive' 'Positive'],['Impersonal Report' 'Interest with Science Topic' 'Shift in Knowledge'],4,The Jupiter Enigma
Loved it ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
"This DVD was interesting, and 3D made it pop. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Space Junk
amazing ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
Astronomers can't figure out how the universe works so they make something up: Dark Matter. ,Negative,Interest with Science Topic,['Negative' 'Negative' 'Negative'],"['Shift in Knowledge' 'Interest with Science Topic'
 'Interest with Science Topic']",4,Seeing the Beginning of Time
The resolution is low. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Not applicable' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
Great information as to what's going on in our vast solar system and what it takes for a planet to thrive. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Shift in Knowledge'],4,The Jupiter Enigma
It was OK. ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
If it was aliens or pseudoscience crap I wouldn't have watched it and rated it 1 star. ,Positive,Engagement with Film,['Positive' 'Positive' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Impersonal Report'],4,The Jupiter Enigma
It was very accurate ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
"not enough content, too much computer graphics. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Space Junk
The most in-depth analysis of a large tornado outbreak or event I have seen in a documentary or on any television show. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",4,SuperTornado: Anatomy of a Megadisaster
This was a very interesting show. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
Fantastic simulations of the universe's development. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
Exciting and educational ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
good ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Impersonal Report' 'Engagement with Film'],4,Space Junk
Very distracting indeed. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
Another couple of hours and more detail perhaps... ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Solar Superstorms: Journey to the Center of the Sun
I still think the answer is 42. ,Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Impersonal Report'],4,Seeing the Beginning of Time
I liked it. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Impersonal Report' 'Engagement with Film'],4,Seeing the Beginning of Time
"The visuals, the narrations, to the music; are all top-notch. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
Wow! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Impersonal Report' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
"If you have terrible sleeping, this narrator will certainly help. ",Negative,Engagement with Film,['Positive' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
"If you're inclined to read about it instead, The Kansas City Star has a far more informative story on the storm. ",Positive,Interest with Science Topic,['Negative' 'Positive' 'Positive'],"['Shift in Knowledge' 'Interest with Science Topic'
 'Interest with Science Topic']",4,SuperTornado: Anatomy of a Megadisaster
id rather skip rocks ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Impersonal Report' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
so I had to shut it off. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
If ur into weather this is a pretty good movie. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Interest with Science Topic'
 'Engagement with Film']",4,SuperTornado: Anatomy of a Megadisaster
"Having lived in Tornado Alley for years I found this documentary is informative, scientific, and well-made. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",4,SuperTornado: Anatomy of a Megadisaster
"Very interesting and informative, liked it a lot. ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
"This documentary was directed by Thomas Lucas, and it was released in 2018. ",Neutral,Impersonal Report,['Neutral' 'Neutral' 'Neutral'],['Impersonal Report' 'Not applicable' 'Impersonal Report'],4,The Jupiter Enigma
I will watch this again. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
First ten minutes and the last five were okay. ,Neutral,Engagement with Film,['Neutral' 'Negative' 'Neutral'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Solar Superstorms: Journey to the Center of the Sun
It seemed that it did not answer the question: what it was like at the beginning of time. ,Negative,Shift in Knowledge,['Negative' 'Negative' 'Negative'],['Shift in Knowledge' 'Engagement with Film' 'Shift in Knowledge'],4,Seeing the Beginning of Time
I enjoyed it and thought the narration was fine. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
"I'd give 6 stars if I could, it's just that good! ",Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
This documentary is a gem! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
Boating as can be. ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
The only reason it did not get a 2/3 star is the great graphics. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
I lost! ,Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
 The graphics and video quality are top notch. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
 The only bad thing about this is the poor souls who lost their lives! ,Positive,Engagement with Film,['Positive' 'Positive' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Impersonal Report'],4,SuperTornado: Anatomy of a Megadisaster
" If you're looking to sit back and enjoy a good documentary, or show it to someone as a source of inspiration... 2-stars. ",Negative,Engagement with Film,['Negative' 'Negative' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,Seeing the Beginning of Time
Something to show to HS student and those interested in weather phenomena. ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Neutral'],"['Engagement with Film' 'Engagement with Film'
 'Interest with Science Topic']",4,SuperTornado: Anatomy of a Megadisaster
 Fantastic graphics. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
I live right down the street from where this happened and I like documentaries... ,Positive,Interest with Science Topic,['Positive' 'Positive' 'Positive'],"['Not applicable' 'Interest with Science Topic'
 'Interest with Science Topic']",4,SuperTornado: Anatomy of a Megadisaster
"Gamow took the former position, Hoyle, the latter. ",Neutral,Not applicable,['Neutral' 'Neutral' 'Neutral'],['Not applicable' 'Not applicable' 'Impersonal Report'],4,The Jupiter Enigma
The music was just okay. ,Neutral,Engagement with Film,['Neutral' 'Neutral' 'Negative'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,The Jupiter Enigma
Full of personal stories about Joplin. ,Neutral,Impersonal Report,['Neutral' 'Positive' 'Neutral'],['Impersonal Report' 'Engagement with Film' 'Impersonal Report'],4,SuperTornado: Anatomy of a Megadisaster
I will be forever grateful for the understanding that this information provided to me thus providing me a sense of peace and comfort. ,Positive,Shift in Knowledge,['Positive' 'Positive' 'Positive'],['Shift in Knowledge' 'Shift in Knowledge' 'Shift in Knowledge'],4,SuperTornado: Anatomy of a Megadisaster
Very informative. ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Shift in Knowledge' 'Engagement with Film'],4,Solar Superstorms: Journey to the Center of the Sun
The Jupiter Enigma is a treatise of reason and a plausibility of flight. ,Positive,Engagement with Film,['Positive' 'Neutral' 'Positive'],['Engagement with Film' 'Not applicable' 'Engagement with Film'],4,The Jupiter Enigma
Very Interesting! ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],"['Interest with Science Topic' 'Engagement with Film'
 'Engagement with Film']",4,SuperTornado: Anatomy of a Megadisaster
I have seen several reviews for this documentary complaining about the narration. ,Neutral,Not applicable,['Neutral' 'Negative' 'Neutral'],['Not applicable' 'Engagement with Film' 'Impersonal Report'],4,Seeing the Beginning of Time
I liked it ,Positive,Engagement with Film,['Positive' 'Positive' 'Positive'],['Engagement with Film' 'Engagement with Film' 'Engagement with Film'],4,SuperTornado: Anatomy of a Megadisaster
